file,query,answer
subgraphs_batch_001_textual_subgraph_0088.graphml,"Which sport is associated with athletes who competed in the 1988, 2012, and 1984 Summer Olympics and has a connection to Ukraine?",Dressage
subgraphs_batch_001_textual_subgraph_0065.graphml,"Which event features participation from Russia and includes sports like Greco-Roman wrestling, Judo, and Artistic gymnastics among its athletes?",2012 Summer Olympics
subgraphs_batch_001_textual_subgraph_0074.graphml,"Which Olympic sport is associated with both the Czech Republic and South Korea, and has been featured in both the 2012 and 1984 Summer Olympics?",Modern pentathlon
subgraphs_batch_001_textual_subgraph_0036.graphml,"Which event is associated with both alpine skiing and snowboarding, and has awarded both silver and gold medals in the Olympics?",1998 Winter Olympics
subgraphs_batch_001_textual_subgraph_0077.graphml,"Which Olympic sport involves athletes from both the United States of America and Azerbaijan, and has been featured in both the 2012 and 2008 Summer Olympics?",Rhythmic gymnastics
subgraphs_batch_001_textual_subgraph_0062.graphml,"Which event involved both Denmark and the United Kingdom as participating countries, and saw a bronze medal awarded in swimming?",1896 Summer Olympics
subgraphs_batch_001_textual_subgraph_0082.graphml,"Which Olympic sport is associated with athletes from both South Africa and Germany, and has been featured in both the 2012 and 2004 Summer Olympics?",Canoe Sprint
subgraphs_batch_001_textual_subgraph_0039.graphml,"Which Olympic sport is associated with both Spain and Malaysia, and was featured in both the 2008 and 2004 Summer Olympics?",Archery
subgraphs_batch_001_textual_subgraph_0054.graphml,"Which award has recognized films such as ""A Beautiful Mind,"" ""Winter’s Bone,"" ""The Lord of the Rings: The Two Towers,"" and ""The Sessions"" for their exceptional adapted screenplays?",Satellite Award for Best Adapted Screenplay
subgraphs_batch_001_textual_subgraph_0010.graphml,"Which Olympic sport is associated with athletes from Venezuela who participated in the 2000, 2012, and 1984 Summer Olympics?",Diving
subgraphs_batch_001_textual_subgraph_0046.graphml,"Which Olympic sport is associated with both Myanmar and Finland, and was featured prominently in the 2012 Summer Olympics as well as having athletes compete in the 2008 Summer Olympics?",Rowing
subgraphs_batch_001_textual_subgraph_0066.graphml,"Which Olympic sport is associated with both Barbados and the Republic of Macedonia, and was featured in both the 2004 and 2008 Summer Olympics?",Judo
subgraphs_batch_001_textual_subgraph_0058.graphml,"Which event featured competitions in archery, show jumping, and artistic gymnastics, and awarded a bronze medal in the Olympics?",1920 Summer Olympics
subgraphs_batch_001_textual_subgraph_0056.graphml,"Which award is associated with nominees from ""Lemony Snicket's A Series of Unfortunate Events"" and ""Skyfall,"" as well as having been won by ""Life of Pi""?",Satellite Award for Best Cinematography
subgraphs_batch_001_textual_subgraph_0051.graphml,"What prestigious honor is associated with nominees like Starship Troopers and The Avengers, as well as winners from Metro-Goldwyn-Mayer, and also recognizes achievements in films such as Life of Pi?",Academy Award for Best Visual Effects
subgraphs_batch_001_textual_subgraph_0032.graphml,"Which institution has notable alumni like Michael Bay who studied Philosophy and is located in the United States, also being associated with the title of President?",Wesleyan University
subgraphs_batch_001_textual_subgraph_0064.graphml,"Which sport has athletes who competed in the 2000, 2012, and 1984 Summer Olympics and is closely associated with Portugal?",Fencing
subgraphs_batch_001_textual_subgraph_0023.graphml,"Which event is associated with football and shooting sports, and where participants from the Dominican Republic won medals, including a silver?",2004 Summer Olympics
subgraphs_batch_001_textual_subgraph_0072.graphml,Which Olympic sport has athletes who participated in both the 2004 and 2008 Summer Olympics and is associated with countries like Hungary and Canada?,Racewalking
subgraphs_batch_001_textual_subgraph_0004.graphml,"Which Olympic sport is associated with both China and Zimbabwe, and had athletes participating in both the 2008 and 2004 Summer Olympics?",Triathlon
subgraphs_batch_001_textual_subgraph_0059.graphml,"Which Olympic event involved participants from Cuba and Mexico, where a silver medal was awarded in the shooting sport?",1900 Summer Olympics
subgraphs_batch_001_textual_subgraph_0006.graphml,"Which Olympic sport is associated with Italy and featured athletes in the 1996, 2004, and 2012 Summer Olympics?",Eventing
subgraphs_batch_001_textual_subgraph_0015.graphml,"Which sport is associated with Shane Smeltz, has connections to Sweden in the context of the Olympics, and was featured in both the 2012 and 2004 Summer Olympics?",Football
subgraphs_batch_001_textual_subgraph_0024.graphml,"Which Olympic sport is associated with both Japan and Portugal, and was featured in both the 2004 and 2012 Summer Olympics?",Show jumping
subgraphs_batch_001_textual_subgraph_0020.graphml,"Which Olympic sport is associated with both the Dominican Republic and Poland, and was featured in both the 2008 and 2012 Summer Olympics?",Taekwondo
